,행정동,자치구,사망자수,중상자수,경상자수,단일로,교차로
0,가락동,송파구,0,8,32,14,17
1,가리봉동,구로구,1,2,10,4,6
2,가산동,금천구,2,5,17,9,8
3,가양동,강서구,0,1,7,3,4
4,가회동,종로구,0,0,1,0,1
5,갈월동,용산구,0,1,1,1,0
6,갈현동,은평구,0,3,17,5,12
7,강일동,강동구,0,2,7,4,3
8,개봉동,구로구,1,14,35,13,22
9,개포동,강남구,0,1,10,3,4
10,개화동,강서구,0,1,0,0,1
11,거여동,송파구,0,4,9,5,7
12,경운동,종로구,0,1,0,0,1
13,고덕동,강동구,0,1,4,2,3
14,고척동,구로구,0,4,15,8,6
15,공덕동,마포구,0,3,4,2,4
16,공릉동,노원구,0,12,28,8,23
17,공평동,종로구,0,0,1,1,0
18,공항동,강서구,0,1,4,2,2
19,관수동,종로구,0,0,1,1,0
20,광장동,광진구,0,1,8,4,2
21,광희동1가,중구,0,0,1,1,0
22,교북동,종로구,0,0,1,0,0
23,구기동,종로구,0,0,2,1,0
24,구로동,구로구,2,11,55,31,24
25,구산동,은평구,0,4,4,0,5
26,구의동,광진구,0,4,21,9,6
27,군자동,광진구,0,2,10,5,5
28,궁동,구로구,0,1,3,1,3
29,금호동1가,성동구,0,0,5,1,2
30,금호동2가,성동구,0,2,1,2,1
31,금호동3가,성동구,0,0,1,1,0
32,금호동4가,성동구,0,2,3,4,1
33,길동,강동구,0,2,6,2,5
34,길음동,성북구,1,0,10,3,2
35,남가좌동,서대문구,0,2,16,7,7
36,남대문로4가,중구,0,0,1,0,1
37,남대문로5가,중구,1,1,3,2,1
38,남영동,용산구,0,1,0,1,0
39,남창동,중구,0,1,1,0,0
40,남학동,중구,0,1,0,1,0
41,남현동,관악구,0,2,7,5,4
42,내곡동,서초구,0,1,1,0,1
43,내발산동,강서구,0,0,16,2,9
44,내자동,종로구,0,0,1,1,0
45,노고산동,마포구,0,0,5,0,4
46,노량진동,동작구,0,2,22,14,7
47,녹번동,은평구,0,7,11,5,7
48,논현동,강남구,0,13,82,32,33
49,능동,광진구,0,2,2,1,2
50,다동,중구,0,0,1,1,0
51,답십리동,동대문구,1,12,27,14,17
52,당산동,영등포구,0,0,1,1,0
53,당산동1가,영등포구,0,2,4,0,5
54,당산동2가,영등포구,0,1,2,2,1
55,당산동3가,영등포구,0,3,4,3,2
56,당산동4가,영등포구,0,0,3,1,2
57,당산동5가,영등포구,0,0,3,2,0
58,당산동6가,영등포구,0,1,1,1,1
59,대림동,영등포구,0,5,22,9,12
60,대방동,동작구,0,1,10,4,5
61,대신동,서대문구,0,1,0,1,0
62,대조동,은평구,0,2,13,3,9
63,대치동,강남구,0,10,27,16,15
64,대현동,서대문구,0,1,7,4,1
65,대흥동,마포구,0,1,4,0,3
66,도곡동,강남구,0,7,21,13,10
67,도림동,영등포구,0,3,8,5,3
68,도봉동,도봉구,0,4,8,2,8
69,도선동,성동구,0,1,4,4,1
70,도원동,용산구,0,0,3,1,1
71,도화동,마포구,0,0,2,1,1
72,독산동,금천구,0,13,43,9,28
73,돈암동,성북구,0,2,4,4,1
74,동교동,마포구,0,6,8,5,5
75,동빙고동,용산구,0,1,0,0,1
76,동선동1가,성북구,0,1,7,3,0
77,동선동2가,성북구,0,0,6,2,0
78,동선동3가,성북구,0,1,4,3,2
79,동선동4가,성북구,0,1,2,2,1
80,동선동5가,성북구,0,1,1,1,1
81,동소문동2가,성북구,0,1,0,1,0
82,동소문동3가,성북구,1,0,0,1,0
83,동소문동6가,성북구,0,0,1,0,1
84,동숭동,종로구,0,0,1,1,0
85,동자동,용산구,0,1,0,1,0
86,동작동,동작구,0,1,1,0,1
87,둔촌동,강동구,0,2,4,0,5
88,등촌동,강서구,0,4,21,7,9
89,마곡동,강서구,0,8,24,9,14
90,마장동,성동구,0,3,6,3,4
91,마천동,송파구,0,5,13,5,8
92,마포동,마포구,0,1,1,2,0
93,만리동2가,중구,0,2,1,1,2
94,망우동,중랑구,0,1,29,5,13
95,망원동,마포구,0,1,2,1,1
96,면목동,중랑구,1,13,65,34,24
97,명륜1가,종로구,0,0,2,2,0
98,명일동,강동구,0,7,3,4,5
99,목동,양천구,0,6,30,16,14
100,무악동,종로구,0,0,1,1,0
101,무학동,중구,0,1,0,0,1
102,묵동,중랑구,0,6,10,6,9
103,문래동1가,영등포구,0,1,3,0,1
104,문래동3가,영등포구,0,4,6,3,2
105,문래동4가,영등포구,0,1,0,0,1
106,문래동6가,영등포구,0,0,1,1,0
107,문배동,용산구,0,0,1,1,0
108,문정동,송파구,1,6,26,4,19
109,미근동,서대문구,0,1,4,2,2
110,미아동,강북구,0,25,92,31,50
111,반포동,서초구,0,5,27,5,17
112,방배동,서초구,0,4,46,19,16
113,방산동,중구,0,1,0,0,0
114,방이동,송파구,0,6,20,7,11
115,방학동,도봉구,0,9,13,8,11
116,방화동,강서구,1,9,8,4,6
117,번동,강북구,1,11,32,18,17
118,보광동,용산구,0,0,2,1,0
119,보문동1가,성북구,0,0,3,1,2
120,보문동2가,성북구,0,1,0,1,0
121,보문동4가,성북구,0,0,1,1,0
122,보문동5가,성북구,0,0,3,0,2
123,보문동6가,성북구,0,0,2,0,2
124,보문동7가,성북구,0,0,2,1,1
125,본동,동작구,0,1,4,0,4
126,봉래동2가,중구,0,1,1,0,1
127,봉천동,관악구,1,36,104,44,53
128,부암동,종로구,0,0,3,1,1
129,북가좌동,서대문구,0,7,22,8,16
130,북아현동,서대문구,0,2,4,1,4
131,북창동,중구,0,0,1,1,0
132,불광동,은평구,0,5,7,4,4
133,사당동,동작구,0,7,36,13,19
134,사직동,종로구,0,1,0,1,0
135,산천동,용산구,0,0,1,0,0
136,삼선동1가,성북구,0,1,3,2,1
137,삼선동4가,성북구,0,0,4,3,1
138,삼선동5가,성북구,0,1,0,1,0
139,삼성동,강남구,0,4,22,8,8
140,삼전동,송파구,0,3,10,1,5
141,상계동,노원구,1,15,64,23,29
142,상도1동,동작구,0,1,4,1,1
143,상도동,동작구,0,11,49,15,28
144,상봉동,중랑구,0,8,15,9,11
145,상수동,마포구,0,1,2,0,3
146,상암동,마포구,1,2,4,0,3
147,상왕십리동,성동구,0,1,7,5,2
148,상월곡동,성북구,1,1,0,2,0
149,상일동,강동구,0,1,4,0,3
150,서교동,마포구,0,1,10,1,10
151,서빙고동,용산구,0,2,12,6,3
152,서소문동,중구,0,0,4,3,0
153,서초동,서초구,1,16,50,21,31
154,석관동,성북구,0,2,9,5,3
155,석촌동,송파구,0,5,19,7,9
156,성내동,강동구,0,5,16,7,10
157,성북동,성북구,0,1,4,2,1
158,성북동1가,성북구,0,0,1,1,0
159,성산동,마포구,2,5,3,5,4
160,성수동1가,성동구,0,4,19,6,8
161,성수동2가,성동구,0,3,12,8,6
162,세곡동,강남구,0,0,7,5,1
163,세종로,종로구,0,1,2,2,0
164,소격동,종로구,0,1,0,0,0
165,송정동,성동구,0,0,2,1,1
166,송파동,송파구,0,10,20,9,12
167,수색동,은평구,0,2,1,2,1
168,수서동,강남구,0,4,7,5,4
169,수송동,종로구,0,1,1,0,1
170,수유동,강북구,0,12,54,21,30
171,숭인동,종로구,0,4,3,4,3
172,시흥동,금천구,1,5,37,16,15
173,신공덕동,마포구,0,1,1,1,0
174,신길동,영등포구,0,13,48,26,25
175,신내동,중랑구,0,10,18,7,14
176,신당동,중구,0,14,21,10,15
177,신대방동,동작구,0,7,26,9,10
178,신도림동,구로구,0,1,14,4,6
179,신림동,관악구,0,38,116,41,60
180,신문로1가,종로구,0,0,1,0,1
181,신문로2가,종로구,0,1,0,0,1
182,신사동,강남구,0,4,32,17,9
183,신사동,은평구,0,4,2,2,3
184,신설동,동대문구,0,6,8,6,6
185,신수동,마포구,0,2,6,2,3
186,신월동,양천구,1,16,33,16,16
187,신정동,양천구,1,17,29,14,22
188,신천동,송파구,0,6,6,2,8
189,신촌동,서대문구,0,0,2,1,0
190,쌍림동,중구,0,1,1,1,1
191,쌍문동,도봉구,0,6,10,4,9
192,아현동,마포구,0,3,3,3,2
193,안암동1가,성북구,0,2,3,1,2
194,안암동2가,성북구,0,1,1,1,1
195,안암동3가,성북구,0,0,1,0,1
196,안암동4가,성북구,0,0,4,0,2
197,안암동5가,성북구,0,1,5,2,1
198,암사동,강동구,0,4,6,5,4
199,압구정동,강남구,0,2,10,4,4
200,양재동,서초구,0,7,15,10,5
201,양평동1가,영등포구,0,2,4,1,5
202,양평동2가,영등포구,0,2,3,2,2
203,양평동3가,영등포구,0,1,5,3,2
204,양평동4가,영등포구,0,0,4,1,3
205,양평동6가,영등포구,0,1,0,1,0
206,양화동,영등포구,0,1,3,4,0
207,여의도동,영등포구,0,4,23,10,4
208,역삼동,강남구,1,18,106,49,45
209,역촌동,은평구,0,10,11,5,11
210,연건동,종로구,0,0,3,0,3
211,연남동,마포구,0,1,4,2,2
212,연희동,서대문구,0,6,11,5,10
213,염리동,마포구,0,0,1,0,0
214,염창동,강서구,2,1,8,1,5
215,영등포동,영등포구,0,3,11,6,2
216,영등포동1가,영등포구,0,0,3,0,2
217,영등포동2가,영등포구,0,1,3,2,2
218,영등포동3가,영등포구,0,1,6,4,1
219,영등포동4가,영등포구,0,1,4,1,2
220,영등포동6가,영등포구,0,3,2,1,2
221,영등포동7가,영등포구,0,0,1,1,0
222,영등포동8가,영등포구,0,1,3,1,2
223,예지동,종로구,0,1,0,1,0
224,오금동,송파구,0,5,9,3,8
225,오류동,구로구,0,5,13,7,7
226,옥수동,성동구,0,2,2,1,3
227,옥천동,서대문구,0,0,1,1,0
228,외발산동,강서구,0,0,1,0,1
229,용강동,마포구,0,0,1,0,1
230,용답동,성동구,0,2,3,3,2
231,용두동,동대문구,0,12,26,9,19
232,용문동,용산구,0,0,6,3,1
233,용산동2가,용산구,0,4,9,4,0
234,용산동3가,용산구,0,1,4,1,3
235,용산동5가,용산구,0,3,0,1,2
236,우면동,서초구,0,3,2,3,1
237,우이동,강북구,0,0,1,1,0
238,원남동,종로구,0,0,3,2,0
239,원효로1가,용산구,0,3,3,1,4
240,원효로4가,용산구,1,0,0,1,0
241,월계동,노원구,0,6,15,7,10
242,율현동,강남구,0,0,2,1,0
243,을지로2가,중구,0,2,11,0,2
244,을지로4가,중구,0,0,1,0,1
245,을지로7가,중구,0,1,2,0,3
246,응봉동,성동구,0,0,3,2,1
247,응암동,은평구,0,6,6,2,7
248,의주로2가,중구,0,1,3,1,1
249,이문동,동대문구,0,4,13,7,9
250,이촌동,용산구,0,2,3,1,3
251,이태원동,용산구,0,3,9,7,2
252,인현동1가,중구,0,0,1,1,0
253,인현동2가,중구,0,1,0,1,0
254,일원동,강남구,1,6,10,9,5
255,자곡동,강남구,0,1,2,1,1
256,자양동,광진구,0,8,17,10,10
257,잠실동,송파구,0,3,26,6,17
258,잠원동,서초구,0,4,14,8,6
259,장교동,중구,0,0,1,0,1
260,장안동,동대문구,0,9,31,10,20
261,장위동,성북구,2,10,20,15,7
262,장지동,송파구,0,6,11,5,8
263,장충동2가,중구,0,1,5,1,2
264,재동,종로구,0,0,1,0,1
265,저동1가,중구,0,0,1,0,1
266,전농동,동대문구,1,8,25,4,22
267,정릉동,성북구,0,6,20,9,10
268,제기동,동대문구,0,5,11,4,8
269,종로2가,종로구,0,1,1,0,1
270,종로3가,종로구,0,0,2,1,0
271,종로4가,종로구,0,1,3,3,0
272,종로5가,종로구,0,1,4,2,2
273,종로6가,종로구,0,1,3,2,2
274,종암동,성북구,0,4,10,7,3
275,주자동,중구,0,0,2,0,1
276,중계동,노원구,1,10,17,4,19
277,중곡동,광진구,0,9,21,6,10
278,중화동,중랑구,0,7,16,11,8
279,증산동,은평구,0,2,3,2,2
280,진관동,은평구,2,2,9,3,7
281,창동,도봉구,0,7,19,6,14
282,창신동,종로구,0,2,11,8,2
283,창전동,마포구,0,0,2,1,1
284,창천동,서대문구,0,2,7,7,2
285,천왕동,구로구,0,0,3,3,0
286,천호동,강동구,0,8,22,15,6
287,청담동,강남구,0,4,15,10,6
288,청량리동,동대문구,0,4,8,8,2
289,청암동,용산구,0,0,2,1,0
290,청운동,종로구,0,1,0,1,0
291,청파동1가,용산구,0,1,0,1,0
292,청파동2가,용산구,0,1,3,2,1
293,청파동3가,용산구,0,3,3,1,2
294,초동,중구,0,1,0,0,1
295,충무로1가,중구,0,0,3,1,1
296,충무로4가,중구,0,0,2,2,0
297,충무로5가,중구,0,0,2,0,0
298,충신동,종로구,0,0,1,1,0
299,충정로2가,서대문구,0,1,3,0,3
300,충정로3가,서대문구,0,0,4,3,1
301,통의동,종로구,0,2,0,1,0
302,팔판동,종로구,1,0,0,1,0
303,평동,종로구,0,0,2,1,1
304,평창동,종로구,0,4,5,6,2
305,풍납동,송파구,0,2,8,4,4
306,하계동,노원구,0,3,11,3,8
307,하왕십리동,성동구,0,1,6,2,4
308,하월곡동,성북구,0,3,8,4,5
309,한강로1가,용산구,0,0,2,2,0
310,한강로2가,용산구,0,2,9,0,4
311,한강로3가,용산구,0,0,5,2,1
312,한남동,용산구,0,3,6,2,7
313,합정동,마포구,0,1,3,1,2
314,항동,구로구,0,0,2,0,1
315,행당동,성동구,0,7,25,10,18
316,행촌동,종로구,0,1,0,1,0
317,현저동,서대문구,2,0,3,2,2
318,혜화동,종로구,0,1,4,1,4
319,홍은동,서대문구,0,4,4,3,4
320,홍익동,성동구,0,1,1,0,2
321,홍제동,서대문구,0,6,12,8,6
322,홍지동,종로구,0,0,1,0,0
323,홍파동,종로구,0,0,1,0,0
324,화곡동,강서구,0,26,88,43,47
325,화양동,광진구,0,2,18,10,6
326,황학동,중구,0,6,3,4,3
327,회기동,동대문구,0,3,8,3,5
328,회현동2가,중구,0,1,1,0,0
329,효창동,용산구,0,0,3,1,2
330,후암동,용산구,0,1,3,2,0
331,훈정동,종로구,0,0,1,1,0
332,휘경동,동대문구,1,6,16,7,14
333,흑석동,동작구,0,1,4,5,0
