,행정동코드,읍면동명,기준일ID,시간대구분,총생활인구수
0,11110515,청운효자동,20211231.0,23.0,15568.7728
1,11110530,사직동,20211231.0,23.0,12282.5108
2,11110540,삼청동,20211231.0,23.0,3399.2853
3,11110550,부암동,20211231.0,23.0,14614.0155
4,11110560,평창동,20211231.0,23.0,18723.1867
5,11110570,무악동,20211231.0,23.0,7414.0854
6,11110580,교남동,20211231.0,23.0,6986.4142
7,11110600,가회동,20211231.0,23.0,4501.1006
8,11110615,종로1.2.3.4가동,20211231.0,23.0,24417.017
9,11110630,종로5.6가동,20211231.0,23.0,9202.849
10,11110640,이화동,20211231.0,23.0,15316.6893
11,11110650,혜화동,20211231.0,23.0,24578.2773
12,11110670,창신제1동,20211231.0,23.0,6050.9867
13,11110680,창신제2동,20211231.0,23.0,11146.8167
14,11110690,창신제3동,20211231.0,23.0,6449.842
15,11110700,숭인제1동,20211231.0,23.0,6766.6507
16,11110710,숭인제2동,20211231.0,23.0,12759.6168
17,11140520,소공동,20211231.0,23.0,9684.4835
18,11140540,회현동,20211231.0,23.0,10690.954
19,11140550,명동,20211231.0,23.0,12757.6211
20,11140570,필동,20211231.0,23.0,7071.5924
21,11140580,장충동,20211231.0,23.0,8428.5133
22,11140590,광희동,20211231.0,23.0,13232.542
23,11140605,을지로동,20211231.0,23.0,6956.7291
24,11140615,신당동,20211231.0,23.0,14469.2312
25,11140625,다산동,20211231.0,23.0,13354.1404
26,11140635,약수동,20211231.0,23.0,16046.806
27,11140645,청구동,20211231.0,23.0,13906.024
28,11140650,신당제5동,20211231.0,23.0,10273.0344
29,11140665,동화동,20211231.0,23.0,9612.0677
30,11140670,황학동,20211231.0,23.0,12783.7657
31,11140680,중림동,20211231.0,23.0,8401.9828
32,11170510,후암동,20211231.0,23.0,15384.0104
33,11170520,용산2가동,20211231.0,23.0,12842.8948
34,11170530,남영동,20211231.0,23.0,9634.8789
35,11170555,청파동,20211231.0,23.0,21879.8135
36,11170560,원효로제1동,20211231.0,23.0,19073.7637
37,11170570,원효로제2동,20211231.0,23.0,16424.7157
38,11170580,효창동,20211231.0,23.0,9489.9776
39,11170590,용문동,20211231.0,23.0,10087.1117
40,11170625,한강로동,20211231.0,23.0,31324.8162
41,11170630,이촌제1동,20211231.0,23.0,26608.2769
42,11170640,이촌제2동,20211231.0,23.0,6907.8181
43,11170650,이태원제1동,20211231.0,23.0,10313.1165
44,11170660,이태원제2동,20211231.0,23.0,12678.6325
45,11170685,한남동,20211231.0,23.0,25503.5703
46,11170690,서빙고동,20211231.0,23.0,14967.675
47,11170700,보광동,20211231.0,23.0,11962.7422
48,11200520,왕십리제2동,20211231.0,23.0,14049.0079
49,11200535,왕십리도선동,20211231.0,23.0,31440.2792
50,11200540,마장동,20211231.0,23.0,21071.8668
51,11200550,사근동,20211231.0,23.0,16263.5457
52,11200560,행당제1동,20211231.0,23.0,18130.6113
53,11200570,행당제2동,20211231.0,23.0,23535.7638
54,11200580,응봉동,20211231.0,23.0,12832.521
55,11200590,금호1가동,20211231.0,23.0,17598.9218
56,11200615,금호2.3가동,20211231.0,23.0,22349.0277
57,11200620,금호4가동,20211231.0,23.0,14030.056
58,11200645,옥수동,20211231.0,23.0,25853.3723
59,11200650,성수1가제1동,20211231.0,23.0,15088.7928
60,11200660,성수1가제2동,20211231.0,23.0,14354.0785
61,11200670,성수2가제1동,20211231.0,23.0,18339.1145
62,11200690,성수2가제3동,20211231.0,23.0,19849.403
63,11200720,송정동,20211231.0,23.0,11133.5452
64,11200790,용답동,20211231.0,23.0,17335.8882
65,11215710,화양동,20211231.0,23.0,30568.6529
66,11215730,군자동,20211231.0,23.0,17176.0764
67,11215740,중곡제1동,20211231.0,23.0,15880.7413
68,11215750,중곡제2동,20211231.0,23.0,22068.3872
69,11215760,중곡제3동,20211231.0,23.0,16115.1066
70,11215770,중곡제4동,20211231.0,23.0,27191.3327
71,11215780,능동,20211231.0,23.0,11945.4462
72,11215810,광장동,20211231.0,23.0,36194.0265
73,11215820,자양제1동,20211231.0,23.0,24075.9979
74,11215830,자양제2동,20211231.0,23.0,23091.4208
75,11215840,자양제3동,20211231.0,23.0,23760.1941
76,11215847,자양제4동,20211231.0,23.0,22825.6173
77,11215850,구의제1동,20211231.0,23.0,28623.6162
78,11215860,구의제2동,20211231.0,23.0,22265.5797
79,11215870,구의제3동,20211231.0,23.0,27686.0746
80,11230536,용신동,20211231.0,23.0,30422.6099
81,11230545,제기동,20211231.0,23.0,30137.732
82,11230560,전농제1동,20211231.0,23.0,30142.9969
83,11230570,전농제2동,20211231.0,23.0,16902.3141
84,11230600,답십리제1동,20211231.0,23.0,25659.2238
85,11230610,답십리제2동,20211231.0,23.0,25762.6141
86,11230650,장안제1동,20211231.0,23.0,35392.639
87,11230660,장안제2동,20211231.0,23.0,26377.5008
88,11230705,청량리동,20211231.0,23.0,17740.0543
89,11230710,회기동,20211231.0,23.0,16713.0469
90,11230720,휘경제1동,20211231.0,23.0,15146.3703
91,11230730,휘경제2동,20211231.0,23.0,21552.3517
92,11230740,이문제1동,20211231.0,23.0,21662.835
93,11230750,이문제2동,20211231.0,23.0,18212.9225
94,11260520,면목제2동,20211231.0,23.0,23169.4224
95,11260540,면목제4동,20211231.0,23.0,19723.0326
96,11260550,면목제5동,20211231.0,23.0,13901.9976
97,11260565,면목본동,20211231.0,23.0,29607.1362
98,11260570,면목제7동,20211231.0,23.0,20580.4673
99,11260575,면목제3.8동,20211231.0,23.0,20961.347
100,11260580,상봉제1동,20211231.0,23.0,17999.2749
101,11260590,상봉제2동,20211231.0,23.0,24109.3082
102,11260600,중화제1동,20211231.0,23.0,19400.7
103,11260610,중화제2동,20211231.0,23.0,26931.4336
104,11260620,묵제1동,20211231.0,23.0,29986.9343
105,11260630,묵제2동,20211231.0,23.0,19581.5713
106,11260655,망우본동,20211231.0,23.0,36853.4046
107,11260660,망우제3동,20211231.0,23.0,14557.7407
108,11260680,신내1동,20211231.0,23.0,37346.9226
109,11260690,신내2동,20211231.0,23.0,19030.5473
110,11290525,성북동,20211231.0,23.0,21493.0783
111,11290555,삼선동,20211231.0,23.0,23236.7565
112,11290575,동선동,20211231.0,23.0,22531.2078
113,11290580,돈암제1동,20211231.0,23.0,15082.9488
114,11290590,돈암제2동,20211231.0,23.0,17289.1064
115,11290600,안암동,20211231.0,23.0,17308.4018
116,11290610,보문동,20211231.0,23.0,17494.7447
117,11290620,정릉제1동,20211231.0,23.0,15040.2967
118,11290630,정릉제2동,20211231.0,23.0,21407.0886
119,11290640,정릉제3동,20211231.0,23.0,13875.6785
120,11290650,정릉제4동,20211231.0,23.0,20769.3962
121,11290660,길음제1동,20211231.0,23.0,37378.4411
122,11290685,길음제2동,20211231.0,23.0,15388.6991
123,11290705,종암동,20211231.0,23.0,40813.0918
124,11290715,월곡제1동,20211231.0,23.0,23522.7063
125,11290725,월곡제2동,20211231.0,23.0,21783.6813
126,11290760,장위제1동,20211231.0,23.0,24708.5142
127,11290770,장위제2동,20211231.0,23.0,14110.5045
128,11290780,장위제3동,20211231.0,23.0,6722.2271
129,11290810,석관동,20211231.0,23.0,28723.1143
130,11305534,삼양동,20211231.0,23.0,26255.7232
131,11305535,미아동,20211231.0,23.0,20528.5805
132,11305545,송중동,20211231.0,23.0,34682.7265
133,11305555,송천동,20211231.0,23.0,28030.1728
134,11305575,삼각산동,20211231.0,23.0,26496.6193
135,11305595,번1동,,,
136,11305603,번2동,,,
137,11305608,번3동,,,
138,11305615,수유1동,,,
139,11305625,수유2동,,,
140,11305635,수유3동,,,
141,11305645,우이동,20211231.0,23.0,19484.2373
142,11305660,인수동,20211231.0,23.0,31623.7995
143,11320511,창제1동,20211231.0,23.0,23803.1093
144,11320512,창제2동,20211231.0,23.0,33610.8086
145,11320513,창제3동,20211231.0,23.0,12885.6513
146,11320514,창제4동,20211231.0,23.0,29202.5573
147,11320515,창제5동,20211231.0,23.0,19651.6268
148,11320521,도봉제1동,20211231.0,23.0,17928.3256
149,11320522,도봉제2동,20211231.0,23.0,21100.1017
150,11320660,쌍문제1동,20211231.0,23.0,18122.4255
151,11320670,쌍문제2동,20211231.0,23.0,19147.3472
152,11320680,쌍문제3동,20211231.0,23.0,14995.6475
153,11320681,쌍문제4동,20211231.0,23.0,15734.2487
154,11320690,방학제1동,20211231.0,23.0,25319.42
155,11320700,방학제2동,20211231.0,23.0,12284.7469
156,11320710,방학제3동,20211231.0,23.0,24690.2284
157,11350560,월계1동,20211231.0,23.0,22923.832
158,11350570,월계2동,20211231.0,23.0,23046.2838
159,11350580,월계3동,20211231.0,23.0,30825.5664
160,11350595,공릉1동,20211231.0,23.0,43605.1118
161,11350600,공릉2동,20211231.0,23.0,41629.952
162,11350611,하계1동,20211231.0,23.0,26798.1638
163,11350612,하계2동,20211231.0,23.0,15097.8927
164,11350619,중계본동,20211231.0,23.0,21891.555
165,11350621,중계1동,20211231.0,23.0,31266.3368
166,11350624,중계4동,20211231.0,23.0,17215.2919
167,11350625,중계2.3동,20211231.0,23.0,33185.3451
168,11350630,상계1동,20211231.0,23.0,42304.9374
169,11350640,상계2동,20211231.0,23.0,29401.5169
170,11350665,상계3.4동,20211231.0,23.0,23129.948
171,11350670,상계5동,20211231.0,23.0,19670.0933
172,11350695,상계6.7동,20211231.0,23.0,45545.8777
173,11350700,상계8동,20211231.0,23.0,21464.45
174,11350710,상계9동,20211231.0,23.0,19764.9844
175,11350720,상계10동,20211231.0,23.0,11576.5856
176,11380510,녹번동,20211231.0,23.0,36581.5361
177,11380520,불광제1동,20211231.0,23.0,33578.1261
178,11380530,불광제2동,20211231.0,23.0,26468.6956
179,11380551,갈현제1동,20211231.0,23.0,23958.8652
180,11380552,갈현제2동,20211231.0,23.0,24836.8247
181,11380560,구산동,20211231.0,23.0,28957.6744
182,11380570,대조동,20211231.0,23.0,42729.4813
183,11380580,응암제1동,20211231.0,23.0,28799.0025
184,11380590,응암제2동,20211231.0,23.0,17847.0866
185,11380600,응암제3동,20211231.0,23.0,25264.9449
186,11380625,역촌동,20211231.0,23.0,46316.985
187,11380631,신사제1동,20211231.0,23.0,26590.9912
188,11380632,신사제2동,20211231.0,23.0,15713.0838
189,11380640,증산동,20211231.0,23.0,12873.1093
190,11380650,수색동,20211231.0,23.0,9936.051
191,11380690,진관동,20211231.0,23.0,64807.8367
192,11410520,천연동,20211231.0,23.0,15566.718
193,11410555,북아현동,20211231.0,23.0,39656.5533
194,11410565,충현동,20211231.0,23.0,27115.728
195,11410585,신촌동,20211231.0,23.0,34354.4923
196,11410615,연희동,20211231.0,23.0,37032.2785
197,11410620,홍제제1동,20211231.0,23.0,25445.9574
198,11410640,홍제제3동,20211231.0,23.0,16680.4094
199,11410655,홍제제2동,20211231.0,23.0,10784.2793
200,11410660,홍은제1동,20211231.0,23.0,16895.4443
201,11410685,홍은제2동,20211231.0,23.0,26281.9287
202,11410690,남가좌제1동,20211231.0,23.0,7617.9584
203,11410700,남가좌제2동,20211231.0,23.0,18805.4352
204,11410710,북가좌제1동,20211231.0,23.0,14944.7943
205,11410720,북가좌제2동,20211231.0,23.0,42748.7407
206,11440555,아현동,20211231.0,23.0,22058.6798
207,11440565,공덕동,20211231.0,23.0,39556.5579
208,11440585,도화동,20211231.0,23.0,16521.0693
209,11440590,용강동,20211231.0,23.0,29491.9661
210,11440600,대흥동,20211231.0,23.0,18226.2669
211,11440610,염리동,20211231.0,23.0,10852.958
212,11440630,신수동,20211231.0,23.0,18910.6314
213,11440655,서강동,20211231.0,23.0,26115.9917
214,11440660,서교동,20211231.0,23.0,44869.8682
215,11440680,합정동,20211231.0,23.0,17364.1947
216,11440690,망원제1동,20211231.0,23.0,21294.5132
217,11440700,망원제2동,20211231.0,23.0,18404.9264
218,11440710,연남동,20211231.0,23.0,19908.4317
219,11440720,성산제1동,20211231.0,23.0,22059.8874
220,11440730,성산제2동,20211231.0,23.0,35438.6323
221,11440740,상암동,20211231.0,23.0,35102.8588
222,11470510,목1동,20211231.0,23.0,35770.7352
223,11470520,목2동,20211231.0,23.0,26228.8891
224,11470530,목3동,20211231.0,23.0,18428.4115
225,11470540,목4동,20211231.0,23.0,21687.6749
226,11470550,목5동,20211231.0,23.0,41190.8773
227,11470560,신월1동,20211231.0,23.0,17604.8994
228,11470570,신월2동,20211231.0,23.0,16798.0158
229,11470580,신월3동,20211231.0,23.0,14188.4021
230,11470590,신월4동,20211231.0,23.0,13582.188
231,11470600,신월5동,20211231.0,23.0,9224.4455
232,11470610,신월6동,20211231.0,23.0,5397.9204
233,11470611,신월7동,20211231.0,23.0,15386.0113
234,11470620,신정1동,20211231.0,23.0,20369.2911
235,11470630,신정2동,20211231.0,23.0,14695.4267
236,11470640,신정3동,20211231.0,23.0,46118.7188
237,11470650,신정4동,20211231.0,23.0,34331.3744
238,11470670,신정6동,20211231.0,23.0,22758.8028
239,11470680,신정7동,20211231.0,23.0,22354.8728
240,11500510,염창동,20211231.0,23.0,32703.1755
241,11500520,등촌제1동,20211231.0,23.0,22344.3358
242,11500530,등촌제2동,20211231.0,23.0,18766.1852
243,11500535,등촌제3동,20211231.0,23.0,36318.4934
244,11500540,화곡제1동,20211231.0,23.0,50775.4406
245,11500550,화곡제2동,20211231.0,23.0,13284.7732
246,11500560,화곡제3동,20211231.0,23.0,20698.8263
247,11500570,화곡제4동,20211231.0,23.0,19236.4816
248,11500590,화곡본동,20211231.0,23.0,33008.5341
249,11500591,화곡제6동,20211231.0,23.0,23742.492
250,11500593,화곡제8동,20211231.0,23.0,31297.3857
251,11500603,가양제1동,20211231.0,23.0,39084.434
252,11500604,가양제2동,20211231.0,23.0,12909.8439
253,11500605,가양제3동,20211231.0,23.0,12095.3501
254,11500611,발산제1동,20211231.0,23.0,33165.7067
255,11500615,우장산동,20211231.0,23.0,31989.9781
256,11500620,공항동,20211231.0,23.0,30404.274
257,11500630,방화제1동,20211231.0,23.0,35519.331
258,11500640,방화제2동,20211231.0,23.0,22236.4458
259,11500641,방화제3동,20211231.0,23.0,17907.7491
260,11530510,신도림동,20211231.0,23.0,32106.316
261,11530520,구로제1동,20211231.0,23.0,18860.5381
262,11530530,구로제2동,20211231.0,23.0,30381.0843
263,11530540,구로제3동,20211231.0,23.0,27970.5533
264,11530550,구로제4동,20211231.0,23.0,18661.5344
265,11530560,구로제5동,20211231.0,23.0,28570.4663
266,11530595,가리봉동,20211231.0,23.0,11300.9976
267,11530720,고척제1동,20211231.0,23.0,20992.5197
268,11530730,고척제2동,20211231.0,23.0,21608.2206
269,11530740,개봉제1동,20211231.0,23.0,31911.7087
270,11530750,개봉제2동,20211231.0,23.0,26242.4019
271,11530760,개봉제3동,20211231.0,23.0,17685.2277
272,11530770,오류제1동,20211231.0,23.0,15495.1619
273,11530780,오류제2동,20211231.0,23.0,55454.5053
274,11530790,수궁동,20211231.0,23.0,24625.466
275,11530800,항동,,,
276,11545510,가산동,20211231.0,23.0,31349.7089
277,11545610,독산제1동,20211231.0,23.0,31888.8257
278,11545620,독산제2동,20211231.0,23.0,17748.9444
279,11545630,독산제3동,20211231.0,23.0,24276.7276
280,11545640,독산제4동,20211231.0,23.0,13000.8512
281,11545670,시흥제1동,20211231.0,23.0,29242.5975
282,11545680,시흥제2동,20211231.0,23.0,17633.2119
283,11545690,시흥제3동,20211231.0,23.0,9321.228
284,11545700,시흥제4동,20211231.0,23.0,13500.3632
285,11545710,시흥제5동,20211231.0,23.0,13398.2559
286,11560515,영등포본동,20211231.0,23.0,18282.899
287,11560535,영등포동,20211231.0,23.0,38165.5183
288,11560540,여의동,20211231.0,23.0,49533.0601
289,11560550,당산제1동,20211231.0,23.0,22589.9182
290,11560560,당산제2동,20211231.0,23.0,32633.1188
291,11560585,도림동,20211231.0,23.0,16824.9815
292,11560605,문래동,20211231.0,23.0,31872.3428
293,11560610,양평제1동,20211231.0,23.0,18764.2189
294,11560620,양평제2동,20211231.0,23.0,23604.8083
295,11560630,신길제1동,20211231.0,23.0,17765.914
296,11560650,신길제3동,20211231.0,23.0,15429.6584
297,11560660,신길제4동,20211231.0,23.0,9472.4748
298,11560670,신길제5동,20211231.0,23.0,6929.3372
299,11560680,신길제6동,20211231.0,23.0,24369.816
300,11560690,신길제7동,20211231.0,23.0,16011.0609
301,11560700,대림제1동,20211231.0,23.0,17846.1406
302,11560710,대림제2동,20211231.0,23.0,20246.6744
303,11560720,대림제3동,20211231.0,23.0,26904.1743
304,11590510,노량진제1동,20211231.0,23.0,31652.2704
305,11590520,노량진제2동,20211231.0,23.0,15392.3606
306,11590530,상도제1동,20211231.0,23.0,47927.9324
307,11590540,상도제2동,20211231.0,23.0,21337.7203
308,11590550,상도제3동,20211231.0,23.0,20192.1334
309,11590560,상도제4동,20211231.0,23.0,27652.2279
310,11590605,흑석동,20211231.0,23.0,29718.6443
311,11590620,사당제1동,20211231.0,23.0,24349.5026
312,11590630,사당제2동,20211231.0,23.0,31152.7321
313,11590640,사당제3동,20211231.0,23.0,21674.1806
314,11590650,사당제4동,20211231.0,23.0,15484.8031
315,11590651,사당제5동,20211231.0,23.0,12628.7956
316,11590660,대방동,20211231.0,23.0,42239.7696
317,11590670,신대방제1동,20211231.0,23.0,19562.2647
318,11590680,신대방제2동,20211231.0,23.0,22012.308
319,11620525,보라매동,20211231.0,23.0,18050.5902
320,11620545,청림동,20211231.0,23.0,12573.3092
321,11620565,성현동,20211231.0,23.0,25610.0031
322,11620575,행운동,20211231.0,23.0,26174.7796
323,11620585,낙성대동,20211231.0,23.0,19105.5633
324,11620595,청룡동,20211231.0,23.0,37038.9832
325,11620605,은천동,20211231.0,23.0,29993.4772
326,11620615,중앙동,20211231.0,23.0,16807.9851
327,11620625,인헌동,20211231.0,23.0,26516.9235
328,11620630,남현동,20211231.0,23.0,20694.4775
329,11620645,서원동,20211231.0,23.0,22939.3368
330,11620655,신원동,20211231.0,23.0,18474.8993
331,11620665,서림동,20211231.0,23.0,19679.0725
332,11620685,신사동,20211231.0,23.0,24027.3375
333,11620695,신림동,20211231.0,23.0,26266.4221
334,11620715,난향동,20211231.0,23.0,12970.1138
335,11620725,조원동,20211231.0,23.0,23623.3598
336,11620735,대학동,20211231.0,23.0,24268.3047
337,11620745,삼성동,20211231.0,23.0,23185.473
338,11620765,미성동,20211231.0,23.0,24712.0779
339,11620775,난곡동,20211231.0,23.0,19801.5868
340,11650510,서초1동,20211231.0,23.0,25477.7434
341,11650520,서초2동,20211231.0,23.0,27667.3572
342,11650530,서초3동,20211231.0,23.0,48778.832
343,11650531,서초4동,20211231.0,23.0,30358.9213
344,11650540,잠원동,20211231.0,23.0,30284.0315
345,11650550,반포본동,20211231.0,23.0,1944.715
346,11650560,반포1동,20211231.0,23.0,28262.5514
347,11650570,반포2동,20211231.0,23.0,15532.5926
348,11650580,반포3동,20211231.0,23.0,17357.3845
349,11650581,반포4동,20211231.0,23.0,34163.8811
350,11650590,방배본동,20211231.0,23.0,20220.9541
351,11650600,방배1동,20211231.0,23.0,17338.9123
352,11650610,방배2동,20211231.0,23.0,17910.5396
353,11650620,방배3동,20211231.0,23.0,20588.0106
354,11650621,방배4동,20211231.0,23.0,27236.3468
355,11650651,양재1동,20211231.0,23.0,44728.3397
356,11650652,양재2동,20211231.0,23.0,25555.7451
357,11650660,내곡동,20211231.0,23.0,21656.0979
358,11680510,신사동,20211231.0,23.0,23246.5836
359,11680521,논현1동,20211231.0,23.0,32302.1207
360,11680531,논현2동,20211231.0,23.0,27829.9394
361,11680545,압구정동,20211231.0,23.0,29818.5022
362,11680565,청담동,20211231.0,23.0,31243.0248
363,11680580,삼성1동,20211231.0,23.0,20814.9635
364,11680590,삼성2동,20211231.0,23.0,32317.9191
365,11680600,대치1동,20211231.0,23.0,25328.0834
366,11680610,대치2동,20211231.0,23.0,35537.4468
367,11680630,대치4동,20211231.0,23.0,27159.8303
368,11680640,역삼1동,20211231.0,23.0,60545.5509
369,11680650,역삼2동,20211231.0,23.0,43169.1371
370,11680655,도곡1동,20211231.0,23.0,35172.316
371,11680656,도곡2동,20211231.0,23.0,29209.4598
372,11680660,개포1동,20211231.0,23.0,9121.0753
373,11680670,개포2동,20211231.0,23.0,22483.988
374,11680690,개포4동,20211231.0,23.0,16723.8158
375,11680700,세곡동,20211231.0,23.0,47571.1629
376,11680720,일원본동,20211231.0,23.0,26062.2937
377,11680730,일원1동,20211231.0,23.0,15616.1351
378,11680740,일원2동,20211231.0,23.0,16943.3044
379,11680750,수서동,20211231.0,23.0,18249.763
380,11710510,풍납1동,20211231.0,23.0,15815.8499
381,11710520,풍납2동,20211231.0,23.0,33932.8562
382,11710531,거여1동,20211231.0,23.0,11978.7537
383,11710532,거여2동,20211231.0,23.0,18404.8143
384,11710540,마천1동,20211231.0,23.0,15018.567
385,11710550,마천2동,20211231.0,23.0,16963.8419
386,11710561,방이1동,20211231.0,23.0,17946.3109
387,11710562,방이2동,20211231.0,23.0,30889.7017
388,11710566,오륜동,20211231.0,23.0,15014.0802
389,11710570,오금동,20211231.0,23.0,37184.3755
390,11710580,송파1동,20211231.0,23.0,28169.2815
391,11710590,송파2동,20211231.0,23.0,20539.2649
392,11710600,석촌동,20211231.0,23.0,31838.4252
393,11710610,삼전동,20211231.0,23.0,33826.1848
394,11710620,가락본동,20211231.0,23.0,36499.8323
395,11710631,가락1동,20211231.0,23.0,26516.6082
396,11710632,가락2동,20211231.0,23.0,29330.8134
397,11710641,문정1동,20211231.0,23.0,20266.4185
398,11710642,문정2동,20211231.0,23.0,27580.6059
399,11710646,장지동,20211231.0,23.0,35048.0725
400,11710647,위례동,20211231.0,23.0,43263.5527
401,11710650,잠실본동,20211231.0,23.0,33309.496
402,11710670,잠실2동,20211231.0,23.0,31591.7568
403,11710680,잠실3동,20211231.0,23.0,41230.7286
404,11710690,잠실4동,20211231.0,23.0,23303.3734
405,11710710,잠실6동,20211231.0,23.0,26102.9062
406,11710720,잠실7동,20211231.0,23.0,10844.6382
407,11740515,강일동,20211231.0,23.0,52734.6115
408,11740525,상일제1동,,,
409,11740526,상일제2동,,,
410,11740530,명일제1동,20211231.0,23.0,31484.0778
411,11740540,명일제2동,20211231.0,23.0,17610.9394
412,11740550,고덕제1동,20211231.0,23.0,26910.7835
413,11740560,고덕제2동,20211231.0,23.0,21055.8255
414,11740570,암사제1동,20211231.0,23.0,31073.8249
415,11740580,암사제2동,20211231.0,23.0,14467.6941
416,11740590,암사제3동,20211231.0,23.0,13224.4096
417,11740600,천호제1동,20211231.0,23.0,33564.2063
418,11740610,천호제2동,20211231.0,23.0,42499.3661
419,11740620,천호제3동,20211231.0,23.0,29024.9063
420,11740640,성내제1동,20211231.0,23.0,23939.9343
421,11740650,성내제2동,20211231.0,23.0,26922.978
422,11740660,성내제3동,20211231.0,23.0,28098.8671
423,11740685,길동,20211231.0,23.0,56597.5455
424,11740690,둔촌제1동,20211231.0,23.0,5485.8371
425,11740700,둔촌제2동,20211231.0,23.0,28863.0769
